LotArea,SalePrice,ClusterID,LotArea_sq_diff,SalePrice_sq_diff,Total_sq_diff
8450,208500,2,6612979.612244902,696960000.0,703572979.6122448
9600,181500,2,2020865.3265306144,360000.0,2380865.3265306144
11250,223500,2,52179.6122448976,1713960000.0,1714012179.6122448
9550,140000,0,1221946.006944443,267322500.0,268544446.0069444
14260,250000,1,7097784.027777774,1500826340.25,1507924124.2777777
14115,143000,0,32153625.173611104,374422500.0,406576125.1736111
10084,307000,1,2285640.0277777794,333409340.25,335694980.2777778
10382,200000,2,409051.612244899,320410000.0,320819051.6122449
6120,129900,0,5403687.673611114,39062500.0,44466187.67361111
7420,118000,0,1049771.0069444457,31922500.0,32972271.006944444
11200,129500,0,7592321.006944441,34222500.0,41814821.00694444
11924,345000,1,107693.36111111072,3165131340.25,3165239033.611111
12968,144000,0,20461298.340277772,414122500.0,434583798.3402778
10652,279500,1,890821.3611111123,85386840.25,86277661.61111112
10920,157000,2,10316.755102040976,630010000.0,630020316.755102
6120,132000,0,5403687.673611114,69722500.0,75126187.67361112
11241,149000,0,7819946.173611107,642622500.0,650442446.1736112
10791,90000,0,5505671.173611108,1132322500.0,1137828171.1736112
13695,159000,2,7147220.326530608,533610000.0,540757220.3265306
7560,139000,0,782487.6736111122,235622500.0,236404987.6736111
14215,325300,1,6860034.027777774,1336597040.25,1343457074.2777777
7449,139400,0,991186.1736111123,248062500.0,249053686.1736111
9742,230000,2,1637303.0408163285,2294410000.0,2296047303.0408163
4224,129900,0,17813323.673611116,39062500.0,56875823.67361112
8246,154000,2,7703796.755102045,789610000.0,797313796.755102
14230,256300,1,6938834.027777774,1052386040.25,1059324874.2777778
7200,134800,0,1548987.6736111126,124322500.0,125871487.67361112
11478,306000,1,13884.694444444587,297890340.25,297904224.9444444
16321,207500,2,28083943.18367346,645160000.0,673243943.1836735
6324,68500,0,4496873.673611114,3041522500.0,3046019373.673611
8500,40000,0,3071.006944444377,6997322500.0,6997325571.006945
8544,149350,0,9883.673611110991,660490000.0,660499883.6736112
11049,179900,2,752.3265306122021,4840000.0,4840752.326530612
10552,165500,2,220497.32653061298,275560000.0,275780497.32653064
7313,277500,1,18342661.361111116,126348840.25,144691501.6111111
13418,309000,1,3320291.3611111087,410447340.25,413767631.6111111
10859,145000,0,5829407.840277775,455822500.0,461651907.8402778
8532,153000,2,6197965.897959188,846810000.0,853007965.8979592
7922,109000,0,273093.3402777784,214622500.0,214895593.3402778
6040,82000,0,5782021.006944448,1734722500.0,1740504521.0069444
8658,160000,2,5586469.897959188,488410000.0,493996469.8979592
16905,170000,2,34614731.75510203,146410000.0,181024731.75510204
9180,144000,0,540837.6736111102,414122500.0,414663337.6736111
9200,130250,0,570654.3402777768,43560000.0,44130654.340277776
7945,141000,0,249583.50694444505,301022500.0,301272083.5069444
7658,319900,1,15506531.361111116,970914440.25,986420971.6111112
12822,239686,1,1503484.6944444429,2406343970.25,2407847454.9444447
11096,249700,1,249833.3611111117,1524160640.25,1524410473.6111112
4456,113000,0,15908797.00694445,113422500.0,129331297.00694445
7742,127000,0,493623.3402777786,11222500.0,11716123.340277778
